lang,attribute,supplement,method,term_type,accuracy
Irish,gender,False,RF,skippy2gram-no-hash,0.75
Irish,gender,False,NN,skippy2gram-no-hash,0.72
Irish,plurality,True,DT,skippy2gram-no-hash,0.73
Irish,plurality,True,RF,skippy2gram-no-hash,0.76
Irish,plurality,True,NN,skippy2gram-no-hash,0.69
Irish,plurality,False,DT,skippy2gram-no-hash,0.71
Irish,plurality,False,RF,skippy2gram-no-hash,0.74
Irish,plurality,False,NN,skippy2gram-no-hash,0.67
Irish,case,True,DT,skippy2gram-no-hash,0.97
Irish,case,True,RF,skippy2gram-no-hash,0.98
Irish,case,True,NN,skippy2gram-no-hash,0.98
Irish,case,False,DT,skippy2gram-no-hash,0.98
Irish,case,False,RF,skippy2gram-no-hash,0.98
Irish,case,False,NN,skippy2gram-no-hash,0.98
Irish,gender,True,DT,skippy3gram-no-hash,0.74
Irish,gender,True,RF,skippy3gram-no-hash,0.78
Irish,gender,True,NN,skippy3gram-no-hash,0.77
Irish,gender,False,DT,skippy3gram-no-hash,0.74
Irish,gender,False,RF,skippy3gram-no-hash,0.79
Irish,gender,False,NN,skippy3gram-no-hash,0.78
Irish,plurality,True,DT,skippy3gram-no-hash,0.65
Irish,plurality,True,RF,skippy3gram-no-hash,0.70
Irish,plurality,True,NN,skippy3gram-no-hash,0.65
Irish,plurality,False,DT,skippy3gram-no-hash,0.64
Irish,plurality,False,RF,skippy3gram-no-hash,0.66
Irish,plurality,False,NN,skippy3gram-no-hash,0.58
Irish,case,True,DT,skippy3gram-no-hash,0.96
Irish,case,True,RF,skippy3gram-no-hash,0.96
Irish,case,True,NN,skippy3gram-no-hash,0.96
Irish,case,False,DT,skippy3gram-no-hash,0.96
Irish,case,False,RF,skippy3gram-no-hash,0.96
Irish,case,False,NN,skippy3gram-no-hash,0.96
Irish,gender,True,DT,skippy4gram-no-hash,0.72
Irish,gender,True,RF,skippy4gram-no-hash,0.78
Irish,gender,True,NN,skippy4gram-no-hash,0.78
Irish,gender,False,DT,skippy4gram-no-hash,0.69
Irish,gender,False,RF,skippy4gram-no-hash,0.72
Irish,gender,False,NN,skippy4gram-no-hash,0.74
Irish,plurality,True,DT,skippy4gram-no-hash,0.63
Irish,plurality,True,RF,skippy4gram-no-hash,0.69
Irish,plurality,True,NN,skippy4gram-no-hash,0.69
Irish,plurality,False,DT,skippy4gram-no-hash,0.63
Irish,plurality,False,RF,skippy4gram-no-hash,0.67
Irish,plurality,False,NN,skippy4gram-no-hash,0.65
Irish,case,True,DT,skippy4gram-no-hash,0.97
Irish,case,True,RF,skippy4gram-no-hash,0.97
Irish,case,True,NN,skippy4gram-no-hash,0.97
Irish,case,False,DT,skippy4gram-no-hash,0.97
Irish,case,False,RF,skippy4gram-no-hash,0.97
Irish,case,False,NN,skippy4gram-no-hash,0.97
Irish,gender,True,DT,2gram-hash-at-both,0.75
Irish,gender,True,RF,2gram-hash-at-both,0.75
Irish,gender,True,NN,2gram-hash-at-both,0.71
Irish,gender,False,DT,2gram-hash-at-both,0.64
Irish,gender,False,RF,2gram-hash-at-both,0.71
Irish,gender,False,NN,2gram-hash-at-both,0.64
Irish,plurality,True,DT,2gram-hash-at-both,0.71
Irish,plurality,True,RF,2gram-hash-at-both,0.69
Irish,plurality,True,NN,2gram-hash-at-both,0.67
Irish,plurality,False,DT,2gram-hash-at-both,0.67
Irish,plurality,False,RF,2gram-hash-at-both,0.69
Irish,plurality,False,NN,2gram-hash-at-both,0.59
Irish,case,True,DT,2gram-hash-at-both,0.96
Irish,case,True,RF,2gram-hash-at-both,0.96
Irish,case,True,NN,2gram-hash-at-both,0.96
Irish,case,False,DT,2gram-hash-at-both,0.96
Irish,case,False,RF,2gram-hash-at-both,0.96
Irish,case,False,NN,2gram-hash-at-both,0.96
Irish,gender,True,DT,3gram-hash-at-both,0.73
Irish,gender,True,RF,3gram-hash-at-both,0.81
Irish,gender,True,NN,3gram-hash-at-both,0.74
Irish,gender,False,DT,3gram-hash-at-both,0.76
Irish,gender,False,RF,3gram-hash-at-both,0.75
Irish,gender,False,NN,3gram-hash-at-both,0.67
Irish,plurality,True,DT,3gram-hash-at-both,0.71
Irish,plurality,True,RF,3gram-hash-at-both,0.75
Irish,plurality,True,NN,3gram-hash-at-both,0.64
Irish,plurality,False,DT,3gram-hash-at-both,0.70
Irish,plurality,False,RF,3gram-hash-at-both,0.74
Irish,plurality,False,NN,3gram-hash-at-both,0.58
Irish,case,True,DT,3gram-hash-at-both,0.95
Irish,case,True,RF,3gram-hash-at-both,0.94
Irish,case,True,NN,3gram-hash-at-both,0.94
Irish,case,False,DT,3gram-hash-at-both,0.94
Irish,case,False,RF,3gram-hash-at-both,0.94
Irish,case,False,NN,3gram-hash-at-both,0.94
Irish,gender,True,DT,4gram-hash-at-both,0.65
Irish,gender,True,RF,4gram-hash-at-both,0.74
Irish,gender,True,NN,4gram-hash-at-both,0.67
Irish,gender,False,DT,4gram-hash-at-both,0.62
Irish,gender,False,RF,4gram-hash-at-both,0.69
Irish,gender,False,NN,4gram-hash-at-both,0.64
Irish,plurality,True,DT,4gram-hash-at-both,0.68
Irish,plurality,True,RF,4gram-hash-at-both,0.72
Irish,plurality,True,NN,4gram-hash-at-both,0.65
Irish,plurality,False,DT,4gram-hash-at-both,0.70
Irish,plurality,False,RF,4gram-hash-at-both,0.70
Irish,plurality,False,NN,4gram-hash-at-both,0.57
Irish,case,True,DT,4gram-hash-at-both,0.96
Irish,case,True,RF,4gram-hash-at-both,0.96
Irish,case,True,NN,4gram-hash-at-both,0.96
Irish,case,False,DT,4gram-hash-at-both,0.96
Irish,case,False,RF,4gram-hash-at-both,0.96
Irish,case,False,NN,4gram-hash-at-both,0.96
Irish,gender,True,DT,skippy2gram-hash-at-both,0.77
Irish,gender,True,RF,skippy2gram-hash-at-both,0.83
Irish,gender,True,NN,skippy2gram-hash-at-both,0.79
Irish,gender,False,DT,skippy2gram-hash-at-both,0.75
Irish,gender,False,RF,skippy2gram-hash-at-both,0.77
Irish,gender,False,NN,skippy2gram-hash-at-both,0.76
Irish,plurality,True,DT,skippy2gram-hash-at-both,0.60
Irish,plurality,True,RF,skippy2gram-hash-at-both,0.63
Irish,plurality,True,NN,skippy2gram-hash-at-both,0.63
Irish,plurality,False,DT,skippy2gram-hash-at-both,0.62
Irish,plurality,False,RF,skippy2gram-hash-at-both,0.62
Irish,plurality,False,NN,skippy2gram-hash-at-both,0.62
Irish,case,True,DT,skippy2gram-hash-at-both,0.96
Irish,case,True,RF,skippy2gram-hash-at-both,0.97
Irish,case,True,NN,skippy2gram-hash-at-both,0.97
Irish,case,False,DT,skippy2gram-hash-at-both,0.97
Irish,case,False,RF,skippy2gram-hash-at-both,0.97
Irish,case,False,NN,skippy2gram-hash-at-both,0.97
Irish,gender,True,DT,skippy3gram-hash-at-both,0.66
Irish,gender,True,RF,skippy3gram-hash-at-both,0.74
Irish,gender,True,NN,skippy3gram-hash-at-both,0.71
Irish,gender,False,DT,skippy3gram-hash-at-both,0.66
Irish,gender,False,RF,skippy3gram-hash-at-both,0.69
Irish,gender,False,NN,skippy3gram-hash-at-both,0.71
Irish,plurality,True,DT,skippy3gram-hash-at-both,0.68
Irish,plurality,True,RF,skippy3gram-hash-at-both,0.70
Irish,plurality,True,NN,skippy3gram-hash-at-both,0.64
Irish,plurality,False,DT,skippy3gram-hash-at-both,0.67
Irish,plurality,False,RF,skippy3gram-hash-at-both,0.72
Irish,plurality,False,NN,skippy3gram-hash-at-both,0.60
Irish,case,True,DT,skippy3gram-hash-at-both,0.94
Irish,case,True,RF,skippy3gram-hash-at-both,0.95
Irish,case,True,NN,skippy3gram-hash-at-both,0.95
Irish,case,False,DT,skippy3gram-hash-at-both,0.95
Irish,case,False,RF,skippy3gram-hash-at-both,0.95
Irish,case,False,NN,skippy3gram-hash-at-both,0.95
Irish,gender,True,DT,skippy4gram-hash-at-both,0.68
Irish,gender,True,RF,skippy4gram-hash-at-both,0.77
Irish,gender,True,NN,skippy4gram-hash-at-both,0.70
Irish,gender,False,DT,skippy4gram-hash-at-both,0.71
Irish,gender,False,RF,skippy4gram-hash-at-both,0.75
Irish,gender,False,NN,skippy4gram-hash-at-both,0.71
Irish,plurality,True,DT,skippy4gram-hash-at-both,0.68
Irish,plurality,True,RF,skippy4gram-hash-at-both,0.67
Irish,plurality,True,NN,skippy4gram-hash-at-both,0.68
Irish,plurality,False,DT,skippy4gram-hash-at-both,0.65
Irish,plurality,False,RF,skippy4gram-hash-at-both,0.67
Irish,plurality,False,NN,skippy4gram-hash-at-both,0.64
Irish,case,True,DT,skippy4gram-hash-at-both,0.94
Irish,case,True,RF,skippy4gram-hash-at-both,0.96
Irish,case,True,NN,skippy4gram-hash-at-both,0.96
Irish,case,False,DT,skippy4gram-hash-at-both,0.94
Irish,case,False,RF,skippy4gram-hash-at-both,0.95
Irish,case,False,NN,skippy4gram-hash-at-both,0.96
