lang,method,attribute,supplement,term_type,accuracy
Irish,plurality,True,RF,missing,0.74
Irish,plurality,True,NN,skippy2gram-hash-at-both,0.73
Irish,plurality,False,DT,skippy2gram-hash-at-both,0.68
Irish,plurality,False,RF,missing,0.71
Irish,plurality,False,NN,skippy2gram-hash-at-both,0.69
Irish,case,True,DT,skippy2gram-hash-at-both,0.96
Irish,case,True,RF,missing,0.96
Irish,case,True,NN,skippy2gram-hash-at-both,0.96
Irish,case,False,DT,skippy2gram-hash-at-both,0.96
Irish,case,False,RF,missing,0.96
Irish,case,False,NN,skippy2gram-hash-at-both,0.96
Irish,gender,True,DT,skippy3gram-hash-at-both,0.75
Irish,gender,True,RF,missing,0.80
Irish,gender,True,NN,skippy3gram-hash-at-both,0.78
Irish,gender,False,DT,skippy3gram-hash-at-both,0.77
Irish,gender,False,RF,missing,0.78
Irish,gender,False,NN,skippy3gram-hash-at-both,0.76
Irish,plurality,True,DT,skippy3gram-hash-at-both,0.70
Irish,plurality,True,RF,missing,0.76
Irish,plurality,True,NN,skippy3gram-hash-at-both,0.72
Irish,plurality,False,DT,skippy3gram-hash-at-both,0.66
Irish,plurality,False,RF,missing,0.75
Irish,plurality,False,NN,skippy3gram-hash-at-both,0.68
Irish,case,True,DT,skippy3gram-hash-at-both,0.96
Irish,case,True,RF,missing,0.96
Irish,case,True,NN,skippy3gram-hash-at-both,0.96
Irish,case,False,DT,skippy3gram-hash-at-both,0.96
Irish,case,False,RF,missing,0.96
